Song,ARTIST,Release Year,COMBINED,PlayCount
Lady Madonna,The Beatles,1968,Lady Madonna by The Beatles,7
"Ob-la-di, Ob-la-da",The Beatles,1968,"Ob-la-di, Ob-la-da by The Beatles",13
Revolution,The Beatles,1968,Revolution by The Beatles,55
Rocky Raccoon,The Beatles,1968,Rocky Raccoon by The Beatles,3
THE CONTINUING STORY OF BUNG,The Beatles,1968,THE CONTINUING STORY OF BUNG by The Beatles,1
While My Guitar Gently Weeps,The Beatles,1968,While My Guitar Gently Weeps by The Beatles,29
Wild Honey Pie,The Beatles,1968,Wild Honey Pie by The Beatles,1
Five To One,The Doors,1968,Five To One by The Doors,5
"Hello, I Love You",The Doors,1968,"Hello, I Love You by The Doors",35
Ride My See Saw,The Moody Blues,1968,Ride My See Saw by The Moody Blues,1
I Can See For Miles,The Who,1968,I Can See For Miles by The Who,10
Magic Bus,The Who,1968,Magic Bus by The Who,12
Time of the Season,Zombies,1968,Time of the Season by Zombies,14
Can't Find My Way Home,Blind Faith,1969,Can't Find My Way Home by Blind Faith,4
Presence of the Lord,Blind Faith,1969,Presence of the Lord by Blind Faith,1
Questions 67 and 68,Chicago,1969,Questions 67 and 68 by Chicago,1
Badge,Cream,1969,Badge by Cream,13
Bad Moon Rising,Creedence Clearwater Revival,1969,Bad Moon Rising by Creedence Clearwater Revival,32
Born On the Bayou,Creedence Clearwater Revival,1969,Born On the Bayou by Creedence Clearwater Revival,25
Down On the Corner,Creedence Clearwater Revival,1969,Down On the Corner by Creedence Clearwater Revival,30
Green River,Creedence Clearwater Revival,1969,Green River by Creedence Clearwater Revival,3
Lodi,Creedence Clearwater Revival,1969,Lodi by Creedence Clearwater Revival,5
Proud Mary,Creedence Clearwater Revival,1969,Proud Mary by Creedence Clearwater Revival,48
Helplessly Hoping,"Crosby, Stills & Nash",1969,"Helplessly Hoping by Crosby, Stills & Nash",1
Long Time Gone,"Crosby, Stills & Nash",1969,"Long Time Gone by Crosby, Stills & Nash",1
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1969,"Suite: Judy Blue Eyes by Crosby, Stills & Nash",10
Space Oddity,David Bowie,1969,Space Oddity by David Bowie,47
Oh Well,Fleetwood Mac,1969,Oh Well by Fleetwood Mac,10
Uncle John's Band,Grateful Dead,1969,Uncle John's Band by Grateful Dead,9
THESE EYES,Guess Who,1969,THESE EYES by Guess Who,1
Living In The Past,Jethro Tull,1969,Living In The Past by Jethro Tull,13
Babe I'm Gonna Leave You,Led Zeppelin,1969,Babe I'm Gonna Leave You by Led Zeppelin,24
Black Mountain Side,Led Zeppelin,1969,Black Mountain Side by Led Zeppelin,1
Bring It On Home,Led Zeppelin,1969,Bring It On Home by Led Zeppelin,1
Communication Breakdown,Led Zeppelin,1969,Communication Breakdown by Led Zeppelin,18
Dazed and Confused,Led Zeppelin,1969,Dazed and Confused by Led Zeppelin,15
Good Times Bad Times,Led Zeppelin,1969,Good Times Bad Times by Led Zeppelin,43
Heartbreaker/living Loving Maid {she's Just A Woman},Led Zeppelin,1969,Heartbreaker/living Loving Maid {she's Just A Woman} by Led Zeppelin,35
How Many More Times,Led Zeppelin,1969,How Many More Times by Led Zeppelin,2
I Can't Quit You Baby,Led Zeppelin,1969,I Can't Quit You Baby by Led Zeppelin,1
Living Loving Maid (She's Just a Woman),Led Zeppelin,1969,Living Loving Maid (She's Just a Woman) by Led Zeppelin,7
Moby Dick,Led Zeppelin,1969,Moby Dick by Led Zeppelin,5
Ramble On,Led Zeppelin,1969,Ramble On by Led Zeppelin,90
Thank You,Led Zeppelin,1969,Thank You by Led Zeppelin,8
The Lemon Song,Led Zeppelin,1969,The Lemon Song by Led Zeppelin,3
What Is and What Should Never Be,Led Zeppelin,1969,What Is and What Should Never Be by Led Zeppelin,40
Whole Lotta Love,Led Zeppelin,1969,Whole Lotta Love by Led Zeppelin,72
You Shook Me,Led Zeppelin,1969,You Shook Me by Led Zeppelin,3
Your Time Is Gonna Come,Led Zeppelin,1969,Your Time Is Gonna Come by Led Zeppelin,10
Cinnamon Girl,Neil Young,1969,Cinnamon Girl by Neil Young,29
Down by the River,Neil Young,1969,Down by the River by Neil Young,2
Sugar Mountain,Neil Young,1969,Sugar Mountain by Neil Young,2
Spirit In The Sky,Norman Greenbaum,1969,Spirit In The Sky by Norman Greenbaum,31
"Careful With That Axe, Eugene",Pink Floyd,1969,"Careful With That Axe, Eugene by Pink Floyd",23
A Salty Dog,Procol Harum,1969,A Salty Dog by Procol Harum,1
Gimme Shelter,Rolling Stones,1969,Gimme Shelter by Rolling Stones,96
Honky Tonk Women,Rolling Stones,1969,Honky Tonk Women by Rolling Stones,87
Let It Bleed,Rolling Stones,1969,Let It Bleed by Rolling Stones,1
Midnight Rambler,Rolling Stones,1969,Midnight Rambler by Rolling Stones,2
Monkey Man,Rolling Stones,1969,Monkey Man by Rolling Stones,4
You Can't Always Get What You Want,Rolling Stones,1969,You Can't Always Get What You Want by Rolling Stones,62
YOU GOT THE SILVER,Rolling Stones,1969,YOU GOT THE SILVER by Rolling Stones,1
Evil Ways,Santana,1969,Evil Ways by Santana,37
Jingo,Santana,1969,Jingo by Santana,1
Soul Sacrifice,Santana,1969,Soul Sacrifice by Santana,2
The Night They Drove Old Dixie Down,The Band,1969,The Night They Drove Old Dixie Down by The Band,3
Up On Cripple Creek,The Band,1969,Up On Cripple Creek by The Band,1
Birthday,The Beatles,1969,Birthday by The Beatles,12
Come Together,The Beatles,1969,Come Together by The Beatles,69
Don't Let Me Down,The Beatles,1969,Don't Let Me Down by The Beatles,1
Get Back,The Beatles,1969,Get Back by The Beatles,52
Golden Slumbers,The Beatles,1969,Golden Slumbers by The Beatles,5
Here Comes The Sun,The Beatles,1969,Here Comes The Sun by The Beatles,24
I Want You (She's So Heavy),The Beatles,1969,I Want You (She's So Heavy) by The Beatles,2
Maxwell's Silver Hammer,The Beatles,1969,Maxwell's Silver Hammer by The Beatles,2
OH DARLING,The Beatles,1969,OH DARLING by The Beatles,6
Something,The Beatles,1969,Something by The Beatles,11
Sun King,The Beatles,1969,Sun King by The Beatles,1
The Ballad Of John And Yoko,The Beatles,1969,The Ballad Of John And Yoko by The Beatles,8
You Never Give Me Your Money,The Beatles,1969,You Never Give Me Your Money by The Beatles,2
Touch Me,The Doors,1969,Touch Me by The Doors,45
I'm Free,The Who,1969,I'm Free by The Who,1
Pinball Wizard,The Who,1969,Pinball Wizard by The Who,54
We're Not Gonna Take It,The Who,1969,We're Not Gonna Take It by The Who,3
Something In the Air,Thunderclap Newman,1969,Something In the Air by Thunderclap Newman,1
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,In Memory Of Elizabeth Reed by Allman Brothers Band,1
Midnight Rider,Allman Brothers Band,1970,Midnight Rider by Allman Brothers Band,21
No Matter What,Badfinger,1970,No Matter What by Badfinger,2
Fairies Wear Boots,Black Sabbath,1970,Fairies Wear Boots by Black Sabbath,1
N.i.b.,Black Sabbath,1970,N.i.b. by Black Sabbath,8
Paranoid,Black Sabbath,1970,Paranoid by Black Sabbath,105
The Wizard,Black Sabbath,1970,The Wizard by Black Sabbath,1
War Pigs,Black Sabbath,1970,War Pigs by Black Sabbath,38
25 Or 6 To 4,Chicago,1970,25 Or 6 To 4 by Chicago,14
Make Me Smile,Chicago,1970,Make Me Smile by Chicago,1
Fortunate Son,Creedence Clearwater Revival,1970,Fortunate Son by Creedence Clearwater Revival,33
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,Lookin' Out My Back Door by Creedence Clearwater Revival,20
Run Through the Jungle,Creedence Clearwater Revival,1970,Run Through the Jungle by Creedence Clearwater Revival,14
Travelin' Band,Creedence Clearwater Revival,1970,Travelin' Band by Creedence Clearwater Revival,12
Up Around the Bend,Creedence Clearwater Revival,1970,Up Around the Bend by Creedence Clearwater Revival,10
Who'll Stop the Rain,Creedence Clearwater Revival,1970,Who'll Stop the Rain by Creedence Clearwater Revival,24
Carry On,"Crosby, Stills, Nash & Young",1970,"Carry On by Crosby, Stills, Nash & Young",6
Ohio,"Crosby, Stills, Nash & Young",1970,"Ohio by Crosby, Stills, Nash & Young",6
Woodstock,"Crosby, Stills, Nash & Young",1970,"Woodstock by Crosby, Stills, Nash & Young",37
I HEAR YOU KNOCKING,Dave Edmunds,1970,I HEAR YOU KNOCKING by Dave Edmunds,1
Child In Time,Deep Purple,1970,Child In Time by Deep Purple,1
Bell Bottom Blues,Derek & The Dominos,1970,Bell Bottom Blues by Derek & The Dominos,4
Layla,Derek & The Dominos,1970,Layla by Derek & The Dominos,99
WAR,Edwin Starr,1970,WAR by Edwin Starr,2
Where To Now St. Peter,Elton John,1970,Where To Now St. Peter by Elton John,1
Your Song,Elton John,1970,Your Song by Elton John,17
Lucky Man,"Emerson, Lake & Palmer",1970,"Lucky Man by Emerson, Lake & Palmer",8
After Midnight,Eric Clapton,1970,After Midnight by Eric Clapton,16
Let It Rain,Eric Clapton,1970,Let It Rain by Eric Clapton,24
Signs,Five Man Electrical Band,1970,Signs by Five Man Electrical Band,10
All Right Now,Free,1970,All Right Now by Free,97
My Sweet Lord,George Harrison,1970,My Sweet Lord by George Harrison,6
Closer To Home (I'm Your Captain),Grand Funk Railroad,1970,Closer To Home (I'm Your Captain) by Grand Funk Railroad,8
Casey Jones,Grateful Dead,1970,Casey Jones by Grateful Dead,3
Friend Of The Devil,Grateful Dead,1970,Friend Of The Devil by Grateful Dead,2
Sugar Magnolia,Grateful Dead,1970,Sugar Magnolia by Grateful Dead,3
Truckin',Grateful Dead,1970,Truckin' by Grateful Dead,19
Midnight Rider,Gregg Allman,1970,Midnight Rider by Gregg Allman,6
