Song,ARTIST,Release Year,COMBINED,PlayCount
Talk To Ya Later,The Tubes,1981,Talk To Ya Later by The Tubes,2
You Better You Bet,The Who,1981,You Better You Bet by The Who,26
A Woman In Love,Tom Petty & The Heartbreakers,1981,A Woman In Love by Tom Petty & The Heartbreakers,2
Stop Draggin' My Heart Around,Tom Petty & The Heartbreakers,1981,Stop Draggin' My Heart Around by Tom Petty & The Heartbreakers,2
The Waiting,Tom Petty & The Heartbreakers,1981,The Waiting by Tom Petty & The Heartbreakers,37
Unchained,Van Halen,1981,Unchained by Van Halen,49
Pearl Necklace,ZZ Top,1981,Pearl Necklace by ZZ Top,5
Tube Snake Boogie,ZZ Top,1981,Tube Snake Boogie by ZZ Top,32
Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,82
Heat of the Moment,Asia,1982,Heat of the Moment by Asia,37
Only Time Will Tell,Asia,1982,Only Time Will Tell by Asia,3
White Wedding,Billy Idol,1982,White Wedding by Billy Idol,84
Allentown,Billy Joel,1982,Allentown by Billy Joel,1
Atlantic City,Bruce Springsteen,1982,Atlantic City by Bruce Springsteen,1
Southern Cross,"Crosby, Stills & Nash",1982,"Southern Cross by Crosby, Stills & Nash",9
Industrial Disease,Dire Straits,1982,Industrial Disease by Dire Straits,21
Dirty Laundry,Don Henley,1982,Dirty Laundry by Don Henley,37
Rio,Duran Duran,1982,Rio by Duran Duran,1
Sweet Dreams (Are Made of This),Eurythmics,1982,Sweet Dreams (Are Made of This) by Eurythmics,2
Gypsy,Fleetwood Mac,1982,Gypsy by Fleetwood Mac,67
Hold Me,Fleetwood Mac,1982,Hold Me by Fleetwood Mac,1
Bad to the Bone,George Thorogood,1982,Bad to the Bone by George Thorogood,63
Run To The Hills,Iron Maiden,1982,Run To The Hills by Iron Maiden,27
The Number Of The Beast,Iron Maiden,1982,The Number Of The Beast by Iron Maiden,18
Somebody's Baby,Jackson Browne,1982,Somebody's Baby by Jackson Browne,7
Hurts So Good,John Mellencamp,1982,Hurts So Good by John Mellencamp,40
Jack & Diane,John Mellencamp,1982,Jack & Diane by John Mellencamp,73
Open Arms,Journey,1982,Open Arms by Journey,10
Electric Eye,Judas Priest,1982,Electric Eye by Judas Priest,1
Play the Game Tonight,Kansas,1982,Play the Game Tonight by Kansas,1
Bonzo's Montreaux,Led Zeppelin,1982,Bonzo's Montreaux by Led Zeppelin,3
Darlene,Led Zeppelin,1982,Darlene by Led Zeppelin,2
Traveling Riverside Blues,Led Zeppelin,1982,Traveling Riverside Blues by Led Zeppelin,9
Down Under,Men At Work,1982,Down Under by Men At Work,5
Who Can It Be Now?,Men At Work,1982,Who Can It Be Now? by Men At Work,6
I Melt With You,Modern English,1982,I Melt With You by Modern English,15
Don't Tell Me You Love Me,Night Ranger,1982,Don't Tell Me You Love Me by Night Ranger,2
Shadows Of The Night,Pat Benatar,1982,Shadows Of The Night by Pat Benatar,8
SHOCK THE MONKEY,Peter Gabriel,1982,SHOCK THE MONKEY by Peter Gabriel,2
Stone Cold,Rainbow,1982,Stone Cold by Rainbow,3
New World Man,Rush,1982,New World Man by Rush,7
Subdivisions,Rush,1982,Subdivisions by Rush,26
Heavy Metal,Sammy Hagar,1982,Heavy Metal by Sammy Hagar,10
Blackout,Scorpions,1982,Blackout by Scorpions,4
No One Like You,Scorpions,1982,No One Like You by Scorpions,76
Black Coffee In Bed,Squeeze,1982,Black Coffee In Bed by Squeeze,1
Abracadabra,Steve Miller Band,1982,Abracadabra by Steve Miller Band,18
Eye of the Tiger,Survivor,1982,Eye of the Tiger by Survivor,8
Eye In the Sky,The Alan Parsons Project,1982,Eye In the Sky by The Alan Parsons Project,2
Rock The Casbah,The Clash,1982,Rock The Casbah by The Clash,61
Should I Stay Or Should,The Clash,1982,Should I Stay Or Should by The Clash,58
Back On The Chain Gang,The Pretenders,1982,Back On The Chain Gang by The Pretenders,40
Athena,The Who,1982,Athena by The Who,5
Eminence Front,The Who,1982,Eminence Front by The Who,19
You Got Lucky,Tom Petty & The Heartbreakers,1982,You Got Lucky by Tom Petty & The Heartbreakers,71
867-5309 / Jenny,Tommy Tutone,1982,867-5309 / Jenny by Tommy Tutone,11
AFRICA,Toto,1982,AFRICA by Toto,2
(Oh) Pretty Woman,Van Halen,1982,(Oh) Pretty Woman by Van Halen,34
Dancing In the Street,Van Halen,1982,Dancing In the Street by Van Halen,57
Little Guitars,Van Halen,1982,Little Guitars by Van Halen,6
Where Have All the Good Times Gone!,Van Halen,1982,Where Have All the Good Times Gone! by Van Halen,1
Blister In the Sun,Violent Femmes,1982,Blister In the Sun by Violent Femmes,1
In a Big Country,Big Country,1983,In a Big Country by Big Country,2
Goodnight Saigon,Billy Joel,1983,Goodnight Saigon by Billy Joel,1
Cuts Like a Knife,Bryan Adams,1983,Cuts Like a Knife by Bryan Adams,17
China Girl,David Bowie,1983,China Girl by David Bowie,5
Let's Dance,David Bowie,1983,Let's Dance by David Bowie,20
Modern Love,David Bowie,1983,Modern Love by David Bowie,10
Photograph,Def Leppard,1983,Photograph by Def Leppard,88
Rock of Ages,Def Leppard,1983,Rock of Ages by Def Leppard,65
Home by the Sea/Second Home by the Sea,Genesis,1983,Home by the Sea/Second Home by the Sea by Genesis,1
Mama,Genesis,1983,Mama by Genesis,17
That's All,Genesis,1983,That's All by Genesis,35
Twilight Zone,Golden Earring,1983,Twilight Zone by Golden Earring,75
How Can I Refuse,Heart,1983,How Can I Refuse by Heart,2
I Want A New Drug,Huey Lewis & The News,1983,I Want A New Drug by Huey Lewis & The News,4
Flight Of Icarus,Iron Maiden,1983,Flight Of Icarus by Iron Maiden,1
The Trooper,Iron Maiden,1983,The Trooper by Iron Maiden,3
On the Dark Side,John Cafferty,1983,On the Dark Side by John Cafferty,19
Authority Song,John Mellencamp,1983,Authority Song by John Mellencamp,20
Crumblin' Down,John Mellencamp,1983,Crumblin' Down by John Mellencamp,17
Faithfully,Journey,1983,Faithfully by Journey,14
Send Her My Love,Journey,1983,Send Her My Love by Journey,1
Separate Ways (Worlds Apart),Journey,1983,Separate Ways (Worlds Apart) by Journey,100
Lick It Up,Kiss,1983,Lick It Up by Kiss,4
Seek & Destroy,Metallica,1983,Seek & Destroy by Metallica,1
Shout at the Devil,Motley Crue,1983,Shout at the Devil by Motley Crue,4
(You Can Still) Rock in America,Night Ranger,1983,(You Can Still) Rock in America by Night Ranger,3
Sister Christian,Night Ranger,1983,Sister Christian by Night Ranger,32
When You Close Your Eyes,Night Ranger,1983,When You Close Your Eyes by Night Ranger,1
Bark At The Moon,Ozzy Osbourne,1983,Bark At The Moon by Ozzy Osbourne,6
Love Is A Battlefield,Pat Benatar,1983,Love Is A Battlefield by Pat Benatar,28
Metal Health,Quiet Riot,1983,Metal Health by Quiet Riot,4
Big Log,Robert Plant,1983,Big Log by Robert Plant,11
In The Mood,Robert Plant,1983,In The Mood by Robert Plant,26
UNDERCOVER OF THE NIGHT,Rolling Stones,1983,UNDERCOVER OF THE NIGHT by Rolling Stones,1
Stand Back,Stevie Nicks,1983,Stand Back by Stevie Nicks,40
Pride And Joy,Stevie Ray Vaughan,1983,Pride And Joy by Stevie Ray Vaughan,48
Texas Flood,Stevie Ray Vaughan,1983,Texas Flood by Stevie Ray Vaughan,4
Burning Down the House,Talking Heads,1983,Burning Down the House by Talking Heads,72
One Thing Leads To Another,The Fixx,1983,One Thing Leads To Another by The Fixx,22
Saved By Zero,The Fixx,1983,Saved By Zero by The Fixx,2
Come Dancing,The Kinks,1983,Come Dancing by The Kinks,1
Every Breath You Take,The Police,1983,Every Breath You Take by The Police,32
King Of Pain,The Police,1983,King Of Pain by The Police,10
Synchronicity II,The Police,1983,Synchronicity II by The Police,35
Wrapped Around Your Finger,The Police,1983,Wrapped Around Your Finger by The Police,17
TALKING IN YOUR SLEEP,The Romantics,1983,TALKING IN YOUR SLEEP by The Romantics,5
She's a Beauty,The Tubes,1983,She's a Beauty by The Tubes,25
Bang the Drum All Day,Todd Rundgren,1983,Bang the Drum All Day by Todd Rundgren,9
New Year's Day,U2,1983,New Year's Day by U2,88
Sunday Bloody Sunday,U2,1983,Sunday Bloody Sunday by U2,54
Red Red Wine,UB40,1983,Red Red Wine by UB40,2
Changes,Yes,1983,Changes by Yes,13
It Can Happen,Yes,1983,It Can Happen by Yes,3
Leave It,Yes,1983,Leave It by Yes,20
Owner of a Lonely Heart,Yes,1983,Owner of a Lonely Heart by Yes,81
Gimme All Your Lovin,ZZ Top,1983,Gimme All Your Lovin by ZZ Top,86
Got Me Under Pressure,ZZ Top,1983,Got Me Under Pressure by ZZ Top,29
Legs,ZZ Top,1983,Legs by ZZ Top,121
Sharp Dressed Man,ZZ Top,1983,Sharp Dressed Man by ZZ Top,120
TV Dinners,ZZ Top,1983,TV Dinners by ZZ Top,1
Jailbreak,AC/DC,1984,Jailbreak by AC/DC,1
Turn Up the Radio,Autograph,1984,Turn Up the Radio by Autograph,21
Eyes Without a Face,Billy Idol,1984,Eyes Without a Face by Billy Idol,2
Rebel Yell,Billy Idol,1984,Rebel Yell by Billy Idol,89
Rock Me Tonight,Billy Squier,1984,Rock Me Tonight by Billy Squier,1
Runaway,Bon Jovi,1984,Runaway by Bon Jovi,41
Born In the U.S.A.,Bruce Springsteen,1984,Born In the U.S.A. by Bruce Springsteen,14
Cover Me,Bruce Springsteen,1984,Cover Me by Bruce Springsteen,1
Dancing In the Dark,Bruce Springsteen,1984,Dancing In the Dark by Bruce Springsteen,10
Glory Days,Bruce Springsteen,1984,Glory Days by Bruce Springsteen,21
I'm On Fire,Bruce Springsteen,1984,I'm On Fire by Bruce Springsteen,14
Pink Cadillac,Bruce Springsteen,1984,Pink Cadillac by Bruce Springsteen,9
Heaven,Bryan Adams,1984,Heaven by Bryan Adams,4
Run to You,Bryan Adams,1984,Run to You by Bryan Adams,42
Somebody,Bryan Adams,1984,Somebody by Bryan Adams,1
Summer Of '69,Bryan Adams,1984,Summer Of '69 by Bryan Adams,52
Knocking At Your Backdoo,Deep Purple,1984,Knocking At Your Backdoo by Deep Purple,1
I Want to Know What Love Is,Foreigner,1984,I Want to Know What Love Is by Foreigner,4
That Was Yesterday,Foreigner,1984,That Was Yesterday by Foreigner,4
Smuggler's Blues,Glenn Frey,1984,Smuggler's Blues by Glenn Frey,3
Axel F Theme,Harold Faltermeyer,1984,Axel F Theme by Harold Faltermeyer,1
Pink Houses,John Mellencamp,1984,Pink Houses by John Mellencamp,34
Fade To Black,Metallica,1984,Fade To Black by Metallica,4
For Whom The Bell Tolls,Metallica,1984,For Whom The Bell Tolls by Metallica,1
We Belong,Pat Benatar,1984,We Belong by Pat Benatar,14
Round and Round,Ratt,1984,Round and Round by Ratt,48
I Can't Fight This Feeling,REO Speedwagon,1984,I Can't Fight This Feeling by REO Speedwagon,2
I Can't Drive 55,Sammy Hagar,1984,I Can't Drive 55 by Sammy Hagar,40
The Warrior,Scandal,1984,The Warrior by Scandal,5
Big City Nights,Scorpions,1984,Big City Nights by Scorpions,10
Rock You Like a Hurricane,Scorpions,1984,Rock You Like a Hurricane by Scorpions,69
Still Loving You,Scorpions,1984,Still Loving You by Scorpions,9
Oh Sherrie,Steve Perry,1984,Oh Sherrie by Steve Perry,12
Scuttle Buttin',Stevie Ray Vaughan,1984,Scuttle Buttin' by Stevie Ray Vaughan,3
Shout,Tears for Fears,1984,Shout by Tears for Fears,1
Drive,The Cars,1984,Drive by The Cars,3
Hello Again,The Cars,1984,Hello Again by The Cars,6
Magic,The Cars,1984,Magic by The Cars,11
You Might Think,The Cars,1984,You Might Think by The Cars,19
Middle Of The Road,The Pretenders,1984,Middle Of The Road by The Pretenders,33
My City Was Gone,The Pretenders,1984,My City Was Gone by The Pretenders,18
I Wanna Rock,Twisted Sister,1984,I Wanna Rock by Twisted Sister,7
We're Not Gonna Take It,Twisted Sister,1984,We're Not Gonna Take It by Twisted Sister,39
Bad,U2,1984,Bad by U2,5
MLK/Pride,U2,1984,MLK/Pride by U2,5
Pride (In the Name of Love),U2,1984,Pride (In the Name of Love) by U2,60
1984/jump,Van Halen,1984,1984/jump by Van Halen,3
Hot for Teacher,Van Halen,1984,Hot for Teacher by Van Halen,52
Jump,Van Halen,1984,Jump by Van Halen,72
Panama,Van Halen,1984,Panama by Van Halen,89
Slide It In,Whitesnake,1984,Slide It In by Whitesnake,1
Let the Music Do the Talking,Aerosmith,1985,Let the Music Do the Talking by Aerosmith,1
Take On Me,a-ha,1985,Take On Me by a-ha,1
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,Just A Gigolo / I Ain't Got Nobody by David Lee Roth,8
Brothers In Arms,Dire Straits,1985,Brothers In Arms by Dire Straits,14
Money for Nothing,Dire Straits,1985,Money for Nothing by Dire Straits,56
So Far Away,Dire Straits,1985,So Far Away by Dire Straits,25
Walk of Life,Dire Straits,1985,Walk of Life by Dire Straits,15
All She Wants to Do Is Dance,Don Henley,1985,All She Wants to Do Is Dance by Don Henley,10
Sunset Grill,Don Henley,1985,Sunset Grill by Don Henley,6
The Boys Of Summer,Don Henley,1985,The Boys Of Summer by Don Henley,73
Strange Magic,Electric Light Orchestra,1985,Strange Magic by Electric Light Orchestra,5
Forever Man,Eric Clapton,1985,Forever Man by Eric Clapton,9
She's Waiting,Eric Clapton,1985,She's Waiting by Eric Clapton,3
I Drink Alone,George Thorogood,1985,I Drink Alone by George Thorogood,33
You Belong to the City,Glenn Frey,1985,You Belong to the City by Glenn Frey,2
ALL YOU ZOMBIES,Hooters,1985,ALL YOU ZOMBIES by Hooters,4
AND WE DANCED,Hooters,1985,AND WE DANCED by Hooters,4
What You Need,INXS,1985,What You Need by INXS,28
We Built This City,Jefferson Starship,1985,We Built This City by Jefferson Starship,3
Centerfield,John Fogerty,1985,Centerfield by John Fogerty,11
The Old Man Down The Road,John Fogerty,1985,The Old Man Down The Road by John Fogerty,12
Lonely Ol' Night,John Mellencamp,1985,Lonely Ol' Night by John Mellencamp,7
R.O.C.K. In the U.S.A.,John Mellencamp,1985,R.O.C.K. In the U.S.A. by John Mellencamp,4
Rain On The Scarecrow,John Mellencamp,1985,Rain On The Scarecrow by John Mellencamp,1
Small Town,John Mellencamp,1985,Small Town by John Mellencamp,55
Only the Young,Journey,1985,Only the Young by Journey,3
Home Sweet Home,Motley Crue,1985,Home Sweet Home by Motley Crue,29
Invincible,Pat Benatar,1985,Invincible by Pat Benatar,1
One Vision,Queen,1985,One Vision by Queen,1
Addicted to Love,Robert Palmer,1985,Addicted to Love by Robert Palmer,11
Don't You,Simple Minds,1985,Don't You by Simple Minds,44
Fortress Around Your Heart,Sting,1985,Fortress Around Your Heart by Sting,1
And She Was,Talking Heads,1985,And She Was by Talking Heads,19
Everybody Wants to Rule the World,Tears for Fears,1985,Everybody Wants to Rule the World by Tears for Fears,6
Head Over Heels,Tears for Fears,1985,Head Over Heels by Tears for Fears,1
Radioactive,The Firm,1985,Radioactive by The Firm,3
Your Love,The Outfield,1985,Your Love by The Outfield,21
Some Like It Hot,The Power Station,1985,Some Like It Hot by The Power Station,1
Don't Come Around Here No More,Tom Petty & The Heartbreakers,1985,Don't Come Around Here No More by Tom Petty & The Heartbreakers,49
Who Made Who,AC/DC,1986,Who Made Who by AC/DC,12
(You Gotta) Fight for Your Right (To Party),Beastie Boys,1986,(You Gotta) Fight for Your Right (To Party) by Beastie Boys,4
No Sleep Till Brooklyn,Beastie Boys,1986,No Sleep Till Brooklyn by Beastie Boys,3
Livin' On A Prayer,Bon Jovi,1986,Livin' On A Prayer by Bon Jovi,74
Wanted Dead or Alive,Bon Jovi,1986,Wanted Dead or Alive by Bon Jovi,87
You Give Love A Bad Name,Bon Jovi,1986,You Give Love A Bad Name by Bon Jovi,63
Amanda,Boston,1986,Amanda by Boston,4
The Way It Is,Bruce Hornsby & The Range,1986,The Way It Is by Bruce Hornsby & The Range,7
Nobody's Fool,Cinderella,1986,Nobody's Fool by Cinderella,9
Somebody Save Me,Cinderella,1986,Somebody Save Me by Cinderella,1
(I Just) Died in Your Arms,Cutting Crew,1986,(I Just) Died in Your Arms by Cutting Crew,3
Welcome To The Boomtown,David & David,1986,Welcome To The Boomtown by David & David,1
Yankee Rose,David Lee Roth,1986,Yankee Rose by David Lee Roth,8
Take Me Home Tonight,Eddie Money,1986,Take Me Home Tonight by Eddie Money,35
It's In The Way That You Use It,Eric Clapton,1986,It's In The Way That You Use It by Eric Clapton,10
The Final Countdown,Europe,1986,The Final Countdown by Europe,5
Land Of Confusion,Genesis,1986,Land Of Confusion by Genesis,17
Tonight Tonight (live),Genesis,1986,Tonight Tonight (live) by Genesis,1
Keep Your Hands To Yourself,Georgia Satellites,1986,Keep Your Hands To Yourself by Georgia Satellites,17
Wasted Years,Iron Maiden,1986,Wasted Years by Iron Maiden,8
Master of Puppets,Metallica,1986,Master of Puppets by Metallica,2
Shot in the Dark,Ozzy Osbourne,1986,Shot in the Dark by Ozzy Osbourne,10
You Can Call Me Al,Paul Simon,1986,You Can Call Me Al by Paul Simon,1
Big Time,Peter Gabriel,1986,Big Time by Peter Gabriel,24
In Your Eyes,Peter Gabriel,1986,In Your Eyes by Peter Gabriel,28
Red Rain,Peter Gabriel,1986,Red Rain by Peter Gabriel,8
Sledgehammer,Peter Gabriel,1986,Sledgehammer by Peter Gabriel,36
Back In the High Life Again,Steve Winwood,1986,Back In the High Life Again by Steve Winwood,1
Higher Love,Steve Winwood,1986,Higher Love by Steve Winwood,6
To Hell With the Devil,Stryper,1986,To Hell With the Devil by Stryper,1
Wild Wild Life,Talking Heads,1986,Wild Wild Life by Talking Heads,7
Your Wildest Dreams,The Moody Blues,1986,Your Wildest Dreams by The Moody Blues,1
Don't Get Me Wrong,The Pretenders,1986,Don't Get Me Wrong by The Pretenders,10
Dreams,Van Halen,1986,Dreams by Van Halen,25
Love Walks In,Van Halen,1986,Love Walks In by Van Halen,4
Summer Nights,Van Halen,1986,Summer Nights by Van Halen,4
Why Can't This Be Love,Van Halen,1986,Why Can't This Be Love by Van Halen,44
Angel,Aerosmith,1987,Angel by Aerosmith,12
Dude (Looks Like a Lady),Aerosmith,1987,Dude (Looks Like a Lady) by Aerosmith,42
Rag Doll,Aerosmith,1987,Rag Doll by Aerosmith,47
Animal,Def Leppard,1987,Animal by Def Leppard,35
Armageddon It,Def Leppard,1987,Armageddon It by Def Leppard,23
Hysteria,Def Leppard,1987,Hysteria by Def Leppard,24
Love Bites,Def Leppard,1987,Love Bites by Def Leppard,25
Pour Some Sugar On Me,Def Leppard,1987,Pour Some Sugar On Me by Def Leppard,70
Rocket,Def Leppard,1987,Rocket by Def Leppard,15
Little Lies,Fleetwood Mac,1987,Little Lies by Fleetwood Mac,1
GOT MY MIND SET ON YOU,George Harrison,1987,GOT MY MIND SET ON YOU by George Harrison,1
Touch of Grey,Grateful Dead,1987,Touch of Grey by Grateful Dead,26
I'm No Angel,Gregg Allman,1987,I'm No Angel by Gregg Allman,17
Mr. Brownstone,Guns N' Roses,1987,Mr. Brownstone by Guns N' Roses,1
My Michelle,Guns N' Roses,1987,My Michelle by Guns N' Roses,1
Paradise City,Guns N' Roses,1987,Paradise City by Guns N' Roses,75
Sweet Child O' Mine,Guns N' Roses,1987,Sweet Child O' Mine by Guns N' Roses,85
Welcome to the Jungle,Guns N' Roses,1987,Welcome to the Jungle by Guns N' Roses,74
Alone,Heart,1987,Alone by Heart,4
Need You Tonight,INXS,1987,Need You Tonight by INXS,12
Paper in Fire,John Mellencamp,1987,Paper in Fire by John Mellencamp,1
"Girls, Girls, Girls",Motley Crue,1987,"Girls, Girls, Girls by Motley Crue",25
Wild Side,Motley Crue,1987,Wild Side by Motley Crue,11
Learning to Fly,Pink Floyd,1987,Learning to Fly by Pink Floyd,44
On The Turning Away,Pink Floyd,1987,On The Turning Away by Pink Floyd,15
One Slip,Pink Floyd,1987,One Slip by Pink Floyd,1
The Dogs Of War,Pink Floyd,1987,The Dogs Of War by Pink Floyd,2
Talk Dirty To Me,Poison,1987,Talk Dirty To Me by Poison,1
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,1987,It's the End of the World As We Know It (And I Feel Fine) by R.E.M.,30
The One I Love,R.E.M.,1987,The One I Love by R.E.M.,35
Time Stand Still (live),Rush,1987,Time Stand Still (live) by Rush,1
Jammin' Me,Tom Petty & The Heartbreakers,1987,Jammin' Me by Tom Petty & The Heartbreakers,2
Bullet the Blue Sky,U2,1987,Bullet the Blue Sky by U2,5
I Still Haven't Found What I'm Looking For,U2,1987,I Still Haven't Found What I'm Looking For by U2,53
Sweetest Thing,U2,1987,Sweetest Thing by U2,1
Where the Streets Have No Name,U2,1987,Where the Streets Have No Name by U2,36
With Or Without You,U2,1987,With Or Without You by U2,49
Here I Go Again,Whitesnake,1987,Here I Go Again by Whitesnake,84
Is This Love,Whitesnake,1987,Is This Love by Whitesnake,7
Bad Medicine,Bon Jovi,1988,Bad Medicine by Bon Jovi,7
Lay Your Hands On Me,Bon Jovi,1988,Lay Your Hands On Me by Bon Jovi,2
Coming Home,Cinderella,1988,Coming Home by Cinderella,1
Don't Know What You Got,Cinderella,1988,Don't Know What You Got by Cinderella,3
Gypsy Road,Cinderella,1988,Gypsy Road by Cinderella,1
Patience,Guns N' Roses,1988,Patience by Guns N' Roses,21
Used To Love Her,Guns N' Roses,1988,Used To Love Her by Guns N' Roses,1
Devil Inside,INXS,1988,Devil Inside by INXS,5
Jane Says,Jane's Addiction,1988,Jane Says by Jane's Addiction,1
I Hate Myself For Loving You,Joan Jett,1988,I Hate Myself For Loving You by Joan Jett,16
Close My Eyes Forever,Lita Ford,1988,Close My Eyes Forever by Lita Ford,5
Kiss Me Deadly,Lita Ford,1988,Kiss Me Deadly by Lita Ford,1
Cult Of Personality,Living Colour,1988,Cult Of Personality by Living Colour,12
Harvester Of Sorrow,Metallica,1988,Harvester Of Sorrow by Metallica,1
One,Metallica,1988,One by Metallica,1
Beds Are Burning,Midnight Oil,1988,Beds Are Burning by Midnight Oil,6
Every Rose Has Its Thorn,Poison,1988,Every Rose Has Its Thorn by Poison,22
Nothin' But A Good Time,Poison,1988,Nothin' But A Good Time by Poison,21
Orange Crush,R.E.M.,1988,Orange Crush by R.E.M.,10
Stand,R.E.M.,1988,Stand by R.E.M.,18
Simply Irresistible,Robert Palmer,1988,Simply Irresistible by Robert Palmer,1
Copperhead Road,Steve Earle,1988,Copperhead Road by Steve Earle,3
Roll With It,Steve Winwood,1988,Roll With It by Steve Winwood,1
End of the Line,The Traveling Wilburys,1988,End of the Line by The Traveling Wilburys,2
Handle with Care,The Traveling Wilburys,1988,Handle with Care by The Traveling Wilburys,5
Angel Of Harlem,U2,1988,Angel Of Harlem by U2,1
Desire,U2,1988,Desire by U2,13
When Love Comes to Town,U2,1988,When Love Comes to Town by U2,1
When It's Love,Van Halen,1988,When It's Love by Van Halen,22
Janie's Got A Gun,Aerosmith,1989,Janie's Got A Gun by Aerosmith,34
Love In An Elevator,Aerosmith,1989,Love In An Elevator by Aerosmith,35
What It Takes,Aerosmith,1989,What It Takes by Aerosmith,31
Black Velvet,Alannah Myles,1989,Black Velvet by Alannah Myles,1
When I See You Smile,Bad English,1989,When I See You Smile by Bad English,1
Born To Be My Baby,Bon Jovi,1989,Born To Be My Baby by Bon Jovi,1
The Heart of the Matter,Don Henley,1989,The Heart of the Matter by Don Henley,11
Veronica,Elvis Costello,1989,Veronica by Elvis Costello,8
Bad Love,Eric Clapton,1989,Bad Love by Eric Clapton,14
Pretending,Eric Clapton,1989,Pretending by Eric Clapton,6
Epic,Faith No More,1989,Epic by Faith No More,3
"Once Bitten, Twice Shy",Great White,1989,"Once Bitten, Twice Shy by Great White",12
Don't Go Away Mad (Just Go Away),Motley Crue,1989,Don't Go Away Mad (Just Go Away) by Motley Crue,4
Dr. Feelgood,Motley Crue,1989,Dr. Feelgood by Motley Crue,17
Kickstart My Heart,Motley Crue,1989,Kickstart My Heart by Motley Crue,25
Same Ol' Situation,Motley Crue,1989,Same Ol' Situation by Motley Crue,4
Rockin' In the Free World,Neil Young,1989,Rockin' In the Free World by Neil Young,38
About a Girl,Nirvana,1989,About a Girl by Nirvana,2
Almost Hear You Sigh,Rolling Stones,1989,Almost Hear You Sigh by Rolling Stones,1
Show Don't Tell,Rush,1989,Show Don't Tell by Rush,2
18 And Life,Skid Row,1989,18 And Life by Skid Row,17
I Remember You,Skid Row,1989,I Remember You by Skid Row,30
Youth Gone Wild,Skid Row,1989,Youth Gone Wild by Skid Row,22
Crossfire,Stevie Ray Vaughan,1989,Crossfire by Stevie Ray Vaughan,17
The House Is Rockin',Stevie Ray Vaughan,1989,The House Is Rockin' by Stevie Ray Vaughan,17
Love Song,Tesla,1989,Love Song by Tesla,4
Love Shack,The B-52's,1989,Love Shack by The B-52's,5
Fire Woman,The Cult,1989,Fire Woman by The Cult,3
A Girl Like You,The Smithereens,1989,A Girl Like You by The Smithereens,1
Free Fallin',Tom Petty & The Heartbreakers,1989,Free Fallin' by Tom Petty & The Heartbreakers,90
I Won't Back Down,Tom Petty & The Heartbreakers,1989,I Won't Back Down by Tom Petty & The Heartbreakers,76
Runnin' Down a Dream,Tom Petty & The Heartbreakers,1989,Runnin' Down a Dream by Tom Petty & The Heartbreakers,96
Thunderstruck,AC/DC,1990,Thunderstruck by AC/DC,34
Man In The Box,Alice In Chains,1990,Man In The Box by Alice In Chains,13
Good Clean Fun,Allman Brothers Band,1990,Good Clean Fun by Allman Brothers Band,2
Cradle of Love,Billy Idol,1990,Cradle of Love by Billy Idol,6
Blaze of Glory,Bon Jovi,1990,Blaze of Glory by Bon Jovi,8
High Enough,Damn Yankees,1990,High Enough by Damn Yankees,1
Enjoy the Silence,Depeche Mode,1990,Enjoy the Silence by Depeche Mode,2
Cliffs Of Dover,Eric Johnson,1990,Cliffs Of Dover by Eric Johnson,2
House Of Pain,Faster Pussycat,1990,House Of Pain by Faster Pussycat,1
Been Caught Stealing,Jane's Addiction,1990,Been Caught Stealing by Jane's Addiction,3
Brickyard Road,Johnny Van Zant,1990,Brickyard Road by Johnny Van Zant,1
Something To Believe In,Poison,1990,Something To Believe In by Poison,1
Another Rainy Night,Queensryche,1990,Another Rainy Night by Queensryche,2
Jet City Woman,Queensryche,1990,Jet City Woman by Queensryche,6
Silent Lucidity,Queensryche,1990,Silent Lucidity by Queensryche,10
Wind Of Change,Scorpions,1990,Wind Of Change by Scorpions,10
Fly To The Angels,Slaughter,1990,Fly To The Angels by Slaughter,1
Hunger Strike,Temple of the Dog,1990,Hunger Strike by Temple of the Dog,4
Hard To Handle,The Black Crowes,1990,Hard To Handle by The Black Crowes,83
She Talks To Angels,The Black Crowes,1990,She Talks To Angels by The Black Crowes,44
Twice As Hard,The Black Crowes,1990,Twice As Hard by The Black Crowes,10
Cherry Pie,Warrant,1990,Cherry Pie by Warrant,6
More Than Words,Extreme,1991,More Than Words by Extreme,1
Civil War,Guns N' Roses,1991,Civil War by Guns N' Roses,1
November Rain,Guns N' Roses,1991,November Rain by Guns N' Roses,13
Right Here Right Now,Jesus Jones,1991,Right Here Right Now by Jesus Jones,3
Ordinary Average Guy,Joe Walsh,1991,Ordinary Average Guy by Joe Walsh,2
Enter Sandman,Metallica,1991,Enter Sandman by Metallica,34
Nothing Else Matters,Metallica,1991,Nothing Else Matters by Metallica,10
Sad But True,Metallica,1991,Sad But True by Metallica,4
The Unforgiven,Metallica,1991,The Unforgiven by Metallica,19
Wherever I May Roam,Metallica,1991,Wherever I May Roam by Metallica,3
Come As You Are,Nirvana,1991,Come As You Are by Nirvana,39
In Bloom,Nirvana,1991,In Bloom by Nirvana,11
Lithium,Nirvana,1991,Lithium by Nirvana,10
On a Plain,Nirvana,1991,On a Plain by Nirvana,2
Polly,Nirvana,1991,Polly by Nirvana,2
