Title,Year,Studio,Genre,Budget,USboxOffice,OpenWeekend,MovieLength,TrailerLength,Director,DirectorGender,DirectorRace,Star,StarGender,StarRace,Costar,CostarGender,CostarRace,IMDbRating,Metascore,Metacritic,RottenTomatoes,NumberOscars,OscarNoms,OscarWinner
The Dark Knight,2008,Warner Brothers,Action/Adventure,185,533.3,158.4,152,32,Christopher Nolan,Male,W,Christian Bale,Male,W,Heath Ledger,Male,W,8.9,82,39,94,2,10,yes
The Fate of the Furious,2017,Universal,Action/Adventure,250,226,98.8,136,191,F Gary Gray,Male,POC,Vin Diesel,Male,POC,Dwayne Johnson,Male,POC,6.7,56,69,72,0,0,no
The Hangover,2009,Warner Brothers,Other,35,277.3,45,100,81,Todd Phillips,Male,W,Zach Galifianakis,Male,W,Bradley Cooper,Male,W,7.8,73,31,78,0,0,no
The Hangover Part II,2011,Warner Brothers,Other,80,254.5,86,102,151,Todd Phillips,Male,W,Bradley Cooper,Male,W,Zach Galifianakis,Male,W,6.4,44,40,35,0,0,no
The Hunger Games,2012,Color Force,Action/Adventure,78,405.9,152.5,142,94,Gary Ross,Male,W,Jennifer Lawrence,Female,W,Josh Hutcherson,Male,W,7.6,67,44,85,"","",""
The Hurt Locker,2009,Summit Entertainment,Drama,15,17.1,0.145,131,151,Kathryn Bigelow,Female,W,Jeremy Renner,Male,W,Anthony Mackie,Male,POC,7.7,95,73,84,6,9,yes
The Incredibles,2004,Walt Disney,Animated,92,261.4,70.4,115,39,Brad Bird,Male,W,Craig T. Nelson,Male,W,Samuel L. Jackson,Male,POC,8,90,41,97,2,4,yes
The Lion King,1994,Walt Disney,Animated,45,328.4,1.8,89,80,Roger Allers,Male,W,Matthew Broderick,Male,W,Jeremy Irons,Male,W,8.4,83,14,89,2,4,yes
The Lion King,2019,Walt Disney,Action/Adventure,260,543.6,191.8,118,108,Jon Favreau,Male,W,Donald Glover,Male,POC,Beyonce,Female,POC,6.9,55,88,93,0,1,no
The Lord of the Rings: Return of the King,2003,New Line,Action/Adventure,94,377,72.6,201,121,Peter Jackson,Male,W,Elijah Wood,Male,W,Viggo Mortensen,Male,W,8.9,94,41,94,11,11,yes
The Lord of the Rings: The Two Towers,2002,New Line,Action/Adventure,94,340.5,"",179,179,Peter Jackson,Male,W,Elijah Wood,Male,W,Ian McKellen,Male,W,8.7,88,38,96,2,6,yes
The Matrix Reloaded,2003,Warner Brothers,Action/Adventure,150,281.5,91.8,138,32,Andy Wachowski,Male,W,Keanu Reeves,Male,POC,Laurence Fishburne,Male,POC,7.1,62,40,73,0,0,no
The Passion of Christ,2004,Icon,Other,300,370.3,83.8,127,67,Mel Gibson,Male,W,Jim Caviezel,Male,W,Monica Bellucci,Female,W,7.1,47,43,50,0,3,no
The Shape of Water,2017,Fox,Drama,19,63.8,0.167,123,109,Guillermo del Toro,Male,POC,Sally Hawkins,Female,W,Octavia Spencer,Female,POC,7.3,86,70,92,4,13,yes
The Sixth Sense,1999,Barry Mendel Productions,Other,40,293.5,26.7,107,59,M. Night Shyamalan,Male,POC,Bruce Willis,Male,W,Haley Joel Osment,Male,W,8.2,64,35,85,0,6,no
The Twilight Saga: Breaking Dawn - pt. 1,2011,Summit Entertainment,Action/Adventure,110,281.3,138.1,117,150,Bill Condon,Male,W,Kristen Stewart,Female,W,Robert Pattinson,Male,W,4.9,45,36,25,0,0,no
The Twilight Saga: Eclipse,2010,Summit Entertainment,Action/Adventure,68,300.5,68.5,124,61,David Slade,Male,W,Kristen Stewart,Female,W,Robert Pattinson,Male,W,4.8,54,38,49,0,0,no
Titanic,1997,Fox,Drama,200,600.8,2.9,194,130,James Cameron,Male,W,Leonardo DiCaprio,Male,W,Kate Winslet,Female,W,7.6,74,34,86,11,14,yes
Toy Story 2,1999,Pixar,Animated,90,245.8,57,92,62,John Lasseter,Male,W,Tom Hanks,Male,W,Tim Allen,Male,W,8,88,34,100,0,1,no
Toy Story 3,2010,Pixar,Animated,200,415,110.3,103,149,Lee Unkrich,Male,W,Tom Hanks,Male,W,Tim Allen,Male,W,8.5,92,39,99,2,5,yes
Toy Story 4,2019,Pixar,Animated,200,434,120.9,100,139,Josh Cooley,Male,W,Tom Hanks,Male,W,Tim Allen,Male,W,7.8,84,94,97,1,1,yes
Transformers,2007,DreamWorks,Action/Adventure,150,318.8,"",144,119,Michael Bay,Male,W,Shia LaBeouf,Male,W,Megan Fox,Female,W,7.2,61,35,57,0,3,no
Transformers: Dark of the Moon,2011,Paramount,Action/Adventure,195,352.4,97.4,154,150,Michael Bay,Male,W,Shia LaBeouf,Male,W,Rosie Huntington-Whiteley,Female,W,6.3,42,37,35,0,3,no
Transformers: Revenge of the Fallen,2009,DreamWorks,Action/Adventure,200,402.1,"",150,137,Michael Bay,Male,W,Shia LaBeouf,Male,W,Megan Fox,Female,W,5.9,35,32,20,0,1,no
Twister,1996,Warner Brothers,Action/Adventure,92,241.7,41.1,113,123,Jan de Bont,Male,W,Helen Hunt,Female,W,Bill Paxton,Male,W,6.1,68,17,59,0,2,no
Up,2009,Walt Disney,Animated,175,293,68.1,96,96,Pete Docter,Male,W,Edward Asner,Male,W,Jordan Nagai,Male,POC,8.3,88,37,98,2,5,yes
WALL-E,2008,Pixar,Other,180,223.8,63.1,98,151,Andrew Stanton,Male,W,Ben Burtt,Male,W,Elissa Knight,Male,W,8.5,94,39,96,1,6,yes
War of the Worlds,2005,Paramount,Action/Adventure,132,234.3,"",116,90,Steven Spielberg,Male,W,Tom Cruise,Male,W,Dakota Fanning,Female,W,6.5,73,40,74,3,3,yes
Wonder Woman,2017,Warner Brothers,Action/Adventure,149,412.6,103.3,141,156,Patty Jenkins,Female,W,Gal Gadot,Female,W,Chris Pine,Male,W,7.4,76,73,87,0,0,no
X-Men: The Last Stand,2006,Fox,Action/Adventure,210,234.4,122.9,104,150,Brett Ratner,Male,W,Patrick Stewart,Male,W,Hugh Jackman,Male,W,6.8,58,38,57,0,0,no
Zootopia,2016,Walt Disney,Animated,150,341.3,75.1,108,166,Byron Howard,Male,W,Ginnifer Goodwin,Female,W,Idris Elba,Male,POC,8,78,92,98,1,1,yes
