end_result,game,game_id,period,play,player,playoffs,score,season,shot_made,time
95 - 112,PHI - BOS,400827892,4,Jahlil Okafor makes free throw 2 of 2,Jahlil Okafor,regular,75 - 86,2015 - 2016,1,7:56
95 - 112,PHI - BOS,400827892,4,Marcus Smart makes free throw 1 of 2,Marcus Smart,regular,78 - 89,2015 - 2016,1,6:26
95 - 112,PHI - BOS,400827892,4,Marcus Smart makes free throw 2 of 2,Marcus Smart,regular,78 - 90,2015 - 2016,1,6:26
95 - 112,PHI - BOS,400827892,4,Nerlens Noel misses free throw 1 of 1,Nerlens Noel,regular,80 - 93,2015 - 2016,0,5:46
95 - 112,PHI - BOS,400827892,4,Jae Crowder makes free throw 1 of 2,Jae Crowder,regular,80 - 94,2015 - 2016,1,5:24
95 - 112,PHI - BOS,400827892,4,Jae Crowder makes free throw 2 of 2,Jae Crowder,regular,80 - 95,2015 - 2016,1,5:24
95 - 112,PHI - BOS,400827892,4,David Lee makes free throw 1 of 2,David Lee,regular,82 - 96,2015 - 2016,1,4:50
95 - 112,PHI - BOS,400827892,4,David Lee makes free throw 2 of 2,David Lee,regular,82 - 97,2015 - 2016,1,4:50
95 - 112,PHI - BOS,400827892,4,Tyler Zeller makes free throw 1 of 2,Tyler Zeller,regular,84 - 102,2015 - 2016,1,3:30
95 - 112,PHI - BOS,400827892,4,Tyler Zeller makes free throw 2 of 2,Tyler Zeller,regular,84 - 103,2015 - 2016,1,3:30
95 - 112,PHI - BOS,400827892,4,Isaiah Canaan makes free throw 1 of 2,Isaiah Canaan,regular,85 - 103,2015 - 2016,1,3:10
95 - 112,PHI - BOS,400827892,4,Isaiah Canaan makes free throw 2 of 2,Isaiah Canaan,regular,86 - 103,2015 - 2016,1,3:10
95 - 112,PHI - BOS,400827892,4,Jordan Mickey makes free throw 1 of 2,Jordan Mickey,regular,88 - 106,2015 - 2016,1,1:25
95 - 112,PHI - BOS,400827892,4,Jordan Mickey makes free throw 2 of 2,Jordan Mickey,regular,88 - 107,2015 - 2016,1,1:25
95 - 112,PHI - BOS,400827892,4,Jerami Grant makes free throw 1 of 2,Jerami Grant,regular,89 - 107,2015 - 2016,1,1:15
95 - 112,PHI - BOS,400827892,4,Jerami Grant makes free throw 2 of 2,Jerami Grant,regular,90 - 107,2015 - 2016,1,1:15
95 - 112,PHI - BOS,400827892,4,Jerami Grant makes free throw 1 of 1,Jerami Grant,regular,93 - 110,2015 - 2016,1,0:51
115 - 100,CHI - BKN,400827893,1,Jimmy Butler makes free throw 1 of 1,Jimmy Butler,regular,19 - 8,2015 - 2016,1,6:07
115 - 100,CHI - BKN,400827893,1,Tony Snell makes free throw 1 of 2,Tony Snell,regular,20 - 10,2015 - 2016,1,5:07
115 - 100,CHI - BKN,400827893,1,Tony Snell makes free throw 2 of 2,Tony Snell,regular,21 - 10,2015 - 2016,1,5:07
115 - 100,CHI - BKN,400827893,1,Bojan Bogdanovic makes free throw 1 of 1,Bojan Bogdanovic,regular,28 - 15,2015 - 2016,1,2:06
115 - 100,CHI - BKN,400827893,1,Donald Sloan makes free throw 1 of 2,Donald Sloan,regular,28 - 18,2015 - 2016,1,1:04
115 - 100,CHI - BKN,400827893,1,Donald Sloan makes free throw 2 of 2,Donald Sloan,regular,28 - 19,2015 - 2016,1,1:04
115 - 100,CHI - BKN,400827893,2,Thomas Robinson makes free throw 1 of 2,Thomas Robinson,regular,46 - 38,2015 - 2016,1,6:16
115 - 100,CHI - BKN,400827893,2,Thomas Robinson makes free throw 2 of 2,Thomas Robinson,regular,46 - 39,2015 - 2016,1,6:16
115 - 100,CHI - BKN,400827893,2,Derrick Rose makes free throw 1 of 2,Derrick Rose,regular,51 - 47,2015 - 2016,1,3:23
115 - 100,CHI - BKN,400827893,2,Derrick Rose makes free throw 2 of 2,Derrick Rose,regular,52 - 47,2015 - 2016,1,3:23
115 - 100,CHI - BKN,400827893,2,Brook Lopez misses free throw 1 of 1,Brook Lopez,regular,54 - 51,2015 - 2016,0,2:03
115 - 100,CHI - BKN,400827893,2,Brook Lopez makes free throw 1 of 2,Brook Lopez,regular,56 - 54,2015 - 2016,1,0:48
115 - 100,CHI - BKN,400827893,2,Brook Lopez makes free throw 2 of 2,Brook Lopez,regular,56 - 55,2015 - 2016,1,0:48
115 - 100,CHI - BKN,400827893,2,Jimmy Butler makes free throw 1 of 2,Jimmy Butler,regular,57 - 55,2015 - 2016,1,0:37
115 - 100,CHI - BKN,400827893,2,Jimmy Butler makes free throw 2 of 2,Jimmy Butler,regular,58 - 55,2015 - 2016,1,0:37
115 - 100,CHI - BKN,400827893,3,Derrick Rose makes free throw 1 of 1,Derrick Rose,regular,65 - 57,2015 - 2016,1,8:48
115 - 100,CHI - BKN,400827893,3,Joe Johnson makes technical free throw,Joe Johnson,regular,68 - 60,2015 - 2016,1,7:39
115 - 100,CHI - BKN,400827893,3,Derrick Rose makes free throw 1 of 2,Derrick Rose,regular,69 - 60,2015 - 2016,1,7:24
115 - 100,CHI - BKN,400827893,3,Derrick Rose makes free throw 2 of 2,Derrick Rose,regular,70 - 60,2015 - 2016,1,7:24
115 - 100,CHI - BKN,400827893,3,Joe Johnson makes free throw 1 of 2,Joe Johnson,regular,70 - 61,2015 - 2016,1,6:26
115 - 100,CHI - BKN,400827893,3,Joe Johnson misses free throw 2 of 2,Joe Johnson,regular,70 - 61,2015 - 2016,0,6:26
115 - 100,CHI - BKN,400827893,3,Pau Gasol makes free throw 1 of 2,Pau Gasol,regular,71 - 61,2015 - 2016,1,6:07
115 - 100,CHI - BKN,400827893,3,Pau Gasol makes free throw 2 of 2,Pau Gasol,regular,72 - 61,2015 - 2016,1,6:07
115 - 100,CHI - BKN,400827893,3,Nikola Mirotic makes free throw 1 of 2,Nikola Mirotic,regular,73 - 63,2015 - 2016,1,4:56
115 - 100,CHI - BKN,400827893,3,Nikola Mirotic makes free throw 2 of 2,Nikola Mirotic,regular,74 - 63,2015 - 2016,1,4:56
115 - 100,CHI - BKN,400827893,3,Nikola Mirotic makes free throw 1 of 2,Nikola Mirotic,regular,80 - 63,2015 - 2016,1,3:44
115 - 100,CHI - BKN,400827893,3,Nikola Mirotic makes free throw 2 of 2,Nikola Mirotic,regular,81 - 63,2015 - 2016,1,3:44
115 - 100,CHI - BKN,400827893,3,Andrea Bargnani makes free throw 1 of 2,Andrea Bargnani,regular,84 - 66,2015 - 2016,1,2:18
115 - 100,CHI - BKN,400827893,3,Andrea Bargnani makes free throw 2 of 2,Andrea Bargnani,regular,84 - 67,2015 - 2016,1,2:18
115 - 100,CHI - BKN,400827893,3,Joakim Noah misses free throw 1 of 2,Joakim Noah,regular,86 - 69,2015 - 2016,0,0:28
115 - 100,CHI - BKN,400827893,3,Joakim Noah misses free throw 2 of 2,Joakim Noah,regular,86 - 69,2015 - 2016,0,0:28
115 - 100,CHI - BKN,400827893,4,Andrea Bargnani makes free throw 1 of 1,Andrea Bargnani,regular,88 - 74,2015 - 2016,1,10:07
115 - 100,CHI - BKN,400827893,4,Thomas Robinson misses free throw 1 of 2,Thomas Robinson,regular,91 - 78,2015 - 2016,0,8:37
115 - 100,CHI - BKN,400827893,4,Thomas Robinson misses free throw 2 of 2,Thomas Robinson,regular,91 - 78,2015 - 2016,0,8:37
115 - 100,CHI - BKN,400827893,4,Taj Gibson makes free throw 1 of 2,Taj Gibson,regular,92 - 78,2015 - 2016,1,8:17
115 - 100,CHI - BKN,400827893,4,Taj Gibson misses free throw 2 of 2,Taj Gibson,regular,92 - 78,2015 - 2016,0,8:17
115 - 100,CHI - BKN,400827893,4,Brook Lopez makes free throw 1 of 1,Brook Lopez,regular,92 - 81,2015 - 2016,1,8:04
115 - 100,CHI - BKN,400827893,4,Brook Lopez makes free throw 1 of 1,Brook Lopez,regular,95 - 84,2015 - 2016,1,7:13
115 - 100,CHI - BKN,400827893,4,Bojan Bogdanovic makes free throw 1 of 2,Bojan Bogdanovic,regular,95 - 85,2015 - 2016,1,6:28
115 - 100,CHI - BKN,400827893,4,Bojan Bogdanovic makes free throw 2 of 2,Bojan Bogdanovic,regular,95 - 86,2015 - 2016,1,6:28
115 - 100,CHI - BKN,400827893,4,Andrea Bargnani makes free throw 1 of 2,Andrea Bargnani,regular,98 - 87,2015 - 2016,1,5:56
115 - 100,CHI - BKN,400827893,4,Andrea Bargnani makes free throw 2 of 2,Andrea Bargnani,regular,98 - 88,2015 - 2016,1,5:56
115 - 100,CHI - BKN,400827893,4,Brook Lopez makes free throw 1 of 2,Brook Lopez,regular,100 - 93,2015 - 2016,1,3:41
115 - 100,CHI - BKN,400827893,4,Brook Lopez makes free throw 2 of 2,Brook Lopez,regular,100 - 94,2015 - 2016,1,3:41
115 - 100,CHI - BKN,400827893,4,Markel Brown misses free throw 1 of 2,Markel Brown,regular,102 - 94,2015 - 2016,0,3:09
115 - 100,CHI - BKN,400827893,4,Markel Brown makes free throw 2 of 2,Markel Brown,regular,102 - 95,2015 - 2016,1,3:09
115 - 100,CHI - BKN,400827893,4,Markel Brown misses free throw 1 of 2,Markel Brown,regular,105 - 95,2015 - 2016,0,2:46
115 - 100,CHI - BKN,400827893,4,Markel Brown makes free throw 2 of 2,Markel Brown,regular,105 - 96,2015 - 2016,1,2:46
87 - 92,UTAH - DET,400827894,1,Derrick Favors misses free throw 1 of 2,Derrick Favors,regular,13 - 7,2015 - 2016,0,3:31
87 - 92,UTAH - DET,400827894,1,Derrick Favors makes free throw 2 of 2,Derrick Favors,regular,13 - 7,2015 - 2016,1,3:31
87 - 92,UTAH - DET,400827894,1,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,13 - 12,2015 - 2016,1,2:14
87 - 92,UTAH - DET,400827894,1,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,13 - 12,2015 - 2016,1,2:14
87 - 92,UTAH - DET,400827894,1,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,15 - 14,2015 - 2016,1,1:16
87 - 92,UTAH - DET,400827894,1,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,15 - 14,2015 - 2016,1,1:16
87 - 92,UTAH - DET,400827894,2,Alec Burks makes free throw 1 of 2,Alec Burks,regular,16 - 16,2015 - 2016,1,11:06
87 - 92,UTAH - DET,400827894,2,Alec Burks makes free throw 2 of 2,Alec Burks,regular,17 - 16,2015 - 2016,1,11:06
87 - 92,UTAH - DET,400827894,2,Anthony Tolliver misses free throw 1 of 3,Anthony Tolliver,regular,19 - 18,2015 - 2016,0,9:30
87 - 92,UTAH - DET,400827894,2,Anthony Tolliver misses free throw 2 of 3,Anthony Tolliver,regular,19 - 18,2015 - 2016,0,9:30
87 - 92,UTAH - DET,400827894,2,Anthony Tolliver misses free throw 3 of 3,Anthony Tolliver,regular,19 - 18,2015 - 2016,0,9:30
87 - 92,UTAH - DET,400827894,2,Aron Baynes makes free throw 1 of 2,Aron Baynes,regular,25 - 24,2015 - 2016,1,6:35
87 - 92,UTAH - DET,400827894,2,Aron Baynes makes free throw 2 of 2,Aron Baynes,regular,25 - 25,2015 - 2016,1,6:35
87 - 92,UTAH - DET,400827894,2,Reggie Jackson misses free throw 1 of 1,Reggie Jackson,regular,36 - 31,2015 - 2016,0,3:48
87 - 92,UTAH - DET,400827894,2,Gordon Hayward misses technical free throw,Gordon Hayward,regular,36 - 31,2015 - 2016,0,3:35
87 - 92,UTAH - DET,400827894,2,Reggie Jackson misses free throw 1 of 2,Reggie Jackson,regular,38 - 31,2015 - 2016,0,3:08
87 - 92,UTAH - DET,400827894,2,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,38 - 32,2015 - 2016,1,3:08
87 - 92,UTAH - DET,400827894,2,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,38 - 35,2015 - 2016,1,2:02
87 - 92,UTAH - DET,400827894,2,Reggie Jackson misses free throw 2 of 2,Reggie Jackson,regular,38 - 35,2015 - 2016,0,2:02
87 - 92,UTAH - DET,400827894,2,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,44 - 40,2015 - 2016,1,0:18
87 - 92,UTAH - DET,400827894,2,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,44 - 41,2015 - 2016,1,0:18
87 - 92,UTAH - DET,400827894,3,Kentavious Caldwell-Pope makes free throw 1 of 2,Kentavious Caldwell-Pope,regular,44 - 46,2015 - 2016,1,10:32
87 - 92,UTAH - DET,400827894,3,Kentavious Caldwell-Pope makes free throw 2 of 2,Kentavious Caldwell-Pope,regular,44 - 47,2015 - 2016,1,10:32
87 - 92,UTAH - DET,400827894,3,Andre Drummond misses free throw 1 of 1,Andre Drummond,regular,46 - 49,2015 - 2016,0,9:49
87 - 92,UTAH - DET,400827894,3,Marcus Morris makes free throw 1 of 1,Marcus Morris,regular,46 - 52,2015 - 2016,1,8:45
87 - 92,UTAH - DET,400827894,3,Gordon Hayward makes free throw 1 of 1,Gordon Hayward,regular,53 - 52,2015 - 2016,1,6:52
87 - 92,UTAH - DET,400827894,3,Andre Drummond misses free throw 1 of 2,Andre Drummond,regular,55 - 55,2015 - 2016,0,5:20
87 - 92,UTAH - DET,400827894,3,Andre Drummond misses free throw 2 of 2,Andre Drummond,regular,55 - 55,2015 - 2016,0,5:20
87 - 92,UTAH - DET,400827894,3,Derrick Favors makes free throw 1 of 2,Derrick Favors,regular,58 - 58,2015 - 2016,1,4:03
87 - 92,UTAH - DET,400827894,3,Derrick Favors makes free throw 2 of 2,Derrick Favors,regular,59 - 58,2015 - 2016,1,4:03
87 - 92,UTAH - DET,400827894,3,Alec Burks makes technical free throw,Alec Burks,regular,62 - 60,2015 - 2016,1,2:44
87 - 92,UTAH - DET,400827894,3,Alec Burks misses free throw 1 of 2,Alec Burks,regular,62 - 65,2015 - 2016,0,1:44
87 - 92,UTAH - DET,400827894,3,Alec Burks makes free throw 2 of 2,Alec Burks,regular,63 - 65,2015 - 2016,1,1:44
87 - 92,UTAH - DET,400827894,3,Marcus Morris makes free throw 1 of 2,Marcus Morris,regular,63 - 66,2015 - 2016,1,1:32
87 - 92,UTAH - DET,400827894,3,Marcus Morris makes free throw 2 of 2,Marcus Morris,regular,63 - 67,2015 - 2016,1,1:32
87 - 92,UTAH - DET,400827894,3,Derrick Favors makes free throw 1 of 2,Derrick Favors,regular,64 - 69,2015 - 2016,1,0:04
87 - 92,UTAH - DET,400827894,3,Derrick Favors misses free throw 2 of 2,Derrick Favors,regular,64 - 69,2015 - 2016,0,0:04
87 - 92,UTAH - DET,400827894,4,Stanley Johnson makes free throw 1 of 2,Stanley Johnson,regular,64 - 72,2015 - 2016,1,10:57
87 - 92,UTAH - DET,400827894,4,Stanley Johnson makes free throw 2 of 2,Stanley Johnson,regular,64 - 73,2015 - 2016,1,10:57
87 - 92,UTAH - DET,400827894,4,Stanley Johnson makes free throw 1 of 2,Stanley Johnson,regular,66 - 74,2015 - 2016,1,10:14
87 - 92,UTAH - DET,400827894,4,Stanley Johnson makes free throw 2 of 2,Stanley Johnson,regular,66 - 75,2015 - 2016,1,10:14
87 - 92,UTAH - DET,400827894,4,Alec Burks makes free throw 1 of 2,Alec Burks,regular,67 - 75,2015 - 2016,1,9:55
87 - 92,UTAH - DET,400827894,4,Alec Burks makes free throw 2 of 2,Alec Burks,regular,68 - 75,2015 - 2016,1,9:55
87 - 92,UTAH - DET,400827894,4,Gordon Hayward misses free throw 1 of 2,Gordon Hayward,regular,75 - 79,2015 - 2016,0,6:20
87 - 92,UTAH - DET,400827894,4,Gordon Hayward makes free throw 2 of 2,Gordon Hayward,regular,76 - 79,2015 - 2016,1,6:20
87 - 92,UTAH - DET,400827894,4,Derrick Favors makes free throw 1 of 2,Derrick Favors,regular,77 - 81,2015 - 2016,1,4:54
87 - 92,UTAH - DET,400827894,4,Derrick Favors makes free throw 2 of 2,Derrick Favors,regular,78 - 81,2015 - 2016,1,4:54
87 - 92,UTAH - DET,400827894,4,Andre Drummond makes free throw 1 of 2,Andre Drummond,regular,78 - 82,2015 - 2016,1,4:41
87 - 92,UTAH - DET,400827894,4,Andre Drummond makes free throw 2 of 2,Andre Drummond,regular,78 - 83,2015 - 2016,1,4:41
87 - 92,UTAH - DET,400827894,4,Gordon Hayward misses free throw 1 of 2,Gordon Hayward,regular,80 - 86,2015 - 2016,0,2:38
87 - 92,UTAH - DET,400827894,4,Gordon Hayward makes free throw 2 of 2,Gordon Hayward,regular,81 - 86,2015 - 2016,1,2:38
87 - 92,UTAH - DET,400827894,4,Kentavious Caldwell-Pope makes free throw 1 of 2,Kentavious Caldwell-Pope,regular,87 - 89,2015 - 2016,1,0:09
87 - 92,UTAH - DET,400827894,4,Kentavious Caldwell-Pope makes free throw 2 of 2,Kentavious Caldwell-Pope,regular,87 - 90,2015 - 2016,1,0:09
87 - 92,UTAH - DET,400827894,4,Reggie Jackson makes free throw 1 of 2,Reggie Jackson,regular,87 - 91,2015 - 2016,1,0:05
87 - 92,UTAH - DET,400827894,4,Reggie Jackson makes free throw 2 of 2,Reggie Jackson,regular,87 - 92,2015 - 2016,1,0:05
94 - 104,CHA - MIA,400827895,1,Al Jefferson misses free throw 1 of 1,Al Jefferson,regular,8-Jun,2015 - 2016,0,8:19
94 - 104,CHA - MIA,400827895,1,Dwyane Wade makes free throw 1 of 2,Dwyane Wade,regular,9-Oct,2015 - 2016,1,7:24
94 - 104,CHA - MIA,400827895,1,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,regular,10-Oct,2015 - 2016,1,7:24
94 - 104,CHA - MIA,400827895,1,Chris Bosh makes free throw 1 of 2,Chris Bosh,regular,11-Dec,2015 - 2016,1,6:52
94 - 104,CHA - MIA,400827895,1,Chris Bosh makes free throw 2 of 2,Chris Bosh,regular,12-Dec,2015 - 2016,1,6:52
94 - 104,CHA - MIA,400827895,1,Al Jefferson makes free throw 1 of 2,Al Jefferson,regular,15 - 12,2015 - 2016,1,5:39
94 - 104,CHA - MIA,400827895,1,Al Jefferson misses free throw 2 of 2,Al Jefferson,regular,15 - 12,2015 - 2016,0,5:39
94 - 104,CHA - MIA,400827895,1,Brian Roberts makes free throw 1 of 1,Brian Roberts,regular,22 - 19,2015 - 2016,1,1:29
94 - 104,CHA - MIA,400827895,1,Mario Chalmers makes free throw 1 of 2,Mario Chalmers,regular,25 - 20,2015 - 2016,1,0:55
94 - 104,CHA - MIA,400827895,1,Mario Chalmers makes free throw 2 of 2,Mario Chalmers,regular,25 - 21,2015 - 2016,1,0:55
94 - 104,CHA - MIA,400827895,1,Chris Bosh makes free throw 1 of 2,Chris Bosh,regular,25 - 22,2015 - 2016,1,0:11
94 - 104,CHA - MIA,400827895,1,Chris Bosh makes free throw 2 of 2,Chris Bosh,regular,25 - 23,2015 - 2016,1,0:11
94 - 104,CHA - MIA,400827895,2,Chris Bosh misses free throw 1 of 2,Chris Bosh,regular,29 - 25,2015 - 2016,0,10:12
94 - 104,CHA - MIA,400827895,2,Chris Bosh makes free throw 2 of 2,Chris Bosh,regular,29 - 26,2015 - 2016,1,10:12
94 - 104,CHA - MIA,400827895,3,Marvin Williams makes free throw 1 of 2,Marvin Williams,regular,49 - 58,2015 - 2016,1,8:37
94 - 104,CHA - MIA,400827895,3,Marvin Williams makes free throw 2 of 2,Marvin Williams,regular,50 - 58,2015 - 2016,1,8:37
94 - 104,CHA - MIA,400827895,3,Dwyane Wade makes free throw 1 of 2,Dwyane Wade,regular,50 - 59,2015 - 2016,1,8:26
94 - 104,CHA - MIA,400827895,3,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,regular,50 - 60,2015 - 2016,1,8:26
94 - 104,CHA - MIA,400827895,3,Kemba Walker makes free throw 1 of 2,Kemba Walker,regular,54 - 62,2015 - 2016,1,7:03
94 - 104,CHA - MIA,400827895,3,Kemba Walker misses free throw 2 of 2,Kemba Walker,regular,54 - 62,2015 - 2016,0,7:03
94 - 104,CHA - MIA,400827895,3,Kemba Walker makes free throw 1 of 1,Kemba Walker,regular,57 - 67,2015 - 2016,1,3:44
94 - 104,CHA - MIA,400827895,3,Mario Chalmers makes free throw 1 of 3,Mario Chalmers,regular,57 - 68,2015 - 2016,1,2:47
94 - 104,CHA - MIA,400827895,3,Mario Chalmers makes free throw 2 of 3,Mario Chalmers,regular,57 - 69,2015 - 2016,1,2:47
94 - 104,CHA - MIA,400827895,3,Mario Chalmers makes free throw 3 of 3,Mario Chalmers,regular,57 - 70,2015 - 2016,1,2:47
94 - 104,CHA - MIA,400827895,3,Cody Zeller makes free throw 1 of 2,Cody Zeller,regular,58 - 73,2015 - 2016,1,1:00
94 - 104,CHA - MIA,400827895,3,Cody Zeller misses free throw 2 of 2,Cody Zeller,regular,58 - 73,2015 - 2016,0,1:00
94 - 104,CHA - MIA,400827895,3,Jeremy Lin makes free throw 1 of 2,Jeremy Lin,regular,59 - 73,2015 - 2016,1,0:43
94 - 104,CHA - MIA,400827895,3,Jeremy Lin makes free throw 2 of 2,Jeremy Lin,regular,60 - 73,2015 - 2016,1,0:43
94 - 104,CHA - MIA,400827895,4,Spencer Hawes misses free throw 1 of 2,Spencer Hawes,regular,60 - 78,2015 - 2016,0,10:41
94 - 104,CHA - MIA,400827895,4,Spencer Hawes makes free throw 2 of 2,Spencer Hawes,regular,61 - 78,2015 - 2016,1,10:41
94 - 104,CHA - MIA,400827895,4,Chris Bosh makes free throw 1 of 2,Chris Bosh,regular,63 - 82,2015 - 2016,1,9:48
94 - 104,CHA - MIA,400827895,4,Chris Bosh makes free throw 2 of 2,Chris Bosh,regular,63 - 83,2015 - 2016,1,9:48
94 - 104,CHA - MIA,400827895,4,Jeremy Lin makes free throw 1 of 2,Jeremy Lin,regular,64 - 83,2015 - 2016,1,9:26
94 - 104,CHA - MIA,400827895,4,Jeremy Lin makes free throw 2 of 2,Jeremy Lin,regular,65 - 83,2015 - 2016,1,9:26
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 1 of 2,Kemba Walker,regular,77 - 90,2015 - 2016,1,5:33
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 2 of 2,Kemba Walker,regular,78 - 90,2015 - 2016,1,5:33
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 1 of 2,Kemba Walker,regular,81 - 92,2015 - 2016,1,4:33
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 2 of 2,Kemba Walker,regular,82 - 92,2015 - 2016,1,4:33
94 - 104,CHA - MIA,400827895,4,Nicolas Batum misses free throw 1 of 2,Nicolas Batum,regular,82 - 92,2015 - 2016,0,4:03
94 - 104,CHA - MIA,400827895,4,Nicolas Batum makes free throw 2 of 2,Nicolas Batum,regular,83 - 92,2015 - 2016,1,4:03
94 - 104,CHA - MIA,400827895,4,Jeremy Lin misses free throw 1 of 2,Jeremy Lin,regular,85 - 97,2015 - 2016,0,1:57
94 - 104,CHA - MIA,400827895,4,Jeremy Lin makes free throw 2 of 2,Jeremy Lin,regular,86 - 97,2015 - 2016,1,1:57
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 1 of 2,Kemba Walker,regular,87 - 97,2015 - 2016,1,1:36
94 - 104,CHA - MIA,400827895,4,Kemba Walker makes free throw 2 of 2,Kemba Walker,regular,88 - 97,2015 - 2016,1,1:36
94 - 104,CHA - MIA,400827895,4,Cody Zeller makes free throw 1 of 2,Cody Zeller,regular,91 - 97,2015 - 2016,1,0:58
94 - 104,CHA - MIA,400827895,4,Cody Zeller makes free throw 2 of 2,Cody Zeller,regular,92 - 97,2015 - 2016,1,0:58
94 - 104,CHA - MIA,400827895,4,Dwyane Wade makes free throw 1 of 2,Dwyane Wade,regular,94 - 101,2015 - 2016,1,0:33
94 - 104,CHA - MIA,400827895,4,Dwyane Wade makes free throw 2 of 2,Dwyane Wade,regular,94 - 102,2015 - 2016,1,0:33
94 - 104,CHA - MIA,400827895,4,Chris Bosh makes free throw 1 of 2,Chris Bosh,regular,94 - 103,2015 - 2016,1,0:29
94 - 104,CHA - MIA,400827895,4,Chris Bosh makes free throw 2 of 2,Chris Bosh,regular,94 - 104,2015 - 2016,1,0:29
99 - 106,IND - TOR,400827896,1,DeMar DeRozan misses free throw 1 of 2,DeMar DeRozan,regular,6-Feb,2015 - 2016,0,9:25
99 - 106,IND - TOR,400827896,1,DeMar DeRozan misses free throw 2 of 2,DeMar DeRozan,regular,6-Feb,2015 - 2016,0,9:25
99 - 106,IND - TOR,400827896,1,DeMar DeRozan misses free throw 1 of 2,DeMar DeRozan,regular,8-Jul,2015 - 2016,0,8:11
99 - 106,IND - TOR,400827896,1,DeMar DeRozan makes free throw 2 of 2,DeMar DeRozan,regular,9-Jul,2015 - 2016,1,8:11
99 - 106,IND - TOR,400827896,1,DeMar DeRozan makes free throw 1 of 2,DeMar DeRozan,regular,10-Jul,2015 - 2016,1,7:16
99 - 106,IND - TOR,400827896,1,DeMar DeRozan misses free throw 2 of 2,DeMar DeRozan,regular,10-Jul,2015 - 2016,0,7:16
99 - 106,IND - TOR,400827896,1,Paul George makes free throw 1 of 2,Paul George,regular,23 - 18,2015 - 2016,1,1:45
99 - 106,IND - TOR,400827896,1,Paul George makes free throw 2 of 2,Paul George,regular,24 - 18,2015 - 2016,1,1:45
99 - 106,IND - TOR,400827896,1,Rodney Stuckey makes free throw 1 of 2,Rodney Stuckey,regular,25 - 18,2015 - 2016,1,1:27
99 - 106,IND - TOR,400827896,1,Rodney Stuckey makes free throw 2 of 2,Rodney Stuckey,regular,26 - 18,2015 - 2016,1,1:27
99 - 106,IND - TOR,400827896,1,Paul George makes free throw 1 of 2,Paul George,regular,27 - 18,2015 - 2016,1,0:51
99 - 106,IND - TOR,400827896,1,Paul George makes free throw 2 of 2,Paul George,regular,28 - 18,2015 - 2016,1,0:51
99 - 106,IND - TOR,400827896,1,Rodney Stuckey makes free throw 1 of 2,Rodney Stuckey,regular,29 - 18,2015 - 2016,1,0:33
